t_s,calib_sys,calib_gyro,calib_accel,calib_mag,heading,roll,pitch,ax,ay,az
1.346,0,0,0,0,0.06,0.06,0.0,-0.32,-0.24,-0.25
1.460,0,0,0,0,0.19,-2.06,2.44,0.05,0.2,-0.24
1.576,0,0,0,0,359.94,-1.88,2.81,0.01,0.25,-0.25
1.690,0,0,0,0,359.94,-1.5,2.88,-0.08,0.25,-0.25
1.806,0,0,0,0,359.31,-0.88,1.25,-0.17,-0.01,-0.23
1.921,0,0,0,0,359.44,-0.88,0.81,-0.16,-0.12,-0.25
2.037,0,0,0,0,359.5,-0.94,1.44,-0.13,0.0,-0.27
2.151,0,0,0,0,359.5,-0.94,2.75,-0.16,0.19,-0.24
2.265,0,0,0,0,359.5,-0.81,2.06,-0.2,0.07,-0.24
2.379,0,0,0,0,359.75,-0.88,1.94,-0.2,0.09,-0.25
2.493,0,0,0,0,359.88,-1.06,2.56,-0.14,0.21,-0.26
2.608,0,0,0,0,359.88,-1.19,1.25,-0.12,-0.03,-0.25
2.722,0,0,0,0,359.75,-1.44,1.0,-0.03,-0.08,-0.25
2.837,0,0,0,0,359.69,-1.5,0.56,-0.06,-0.17,-0.26
2.953,0,0,0,0,359.81,-1.44,0.75,-0.07,-0.15,-0.27
3.067,0,0,0,0,359.81,-1.62,0.38,-0.04,-0.22,-0.25
3.181,0,0,0,0,359.81,-1.75,0.12,-0.01,-0.25,-0.25
3.296,0,0,0,0,0.06,-1.62,0.69,-0.02,-0.15,-0.27
3.411,0,0,0,0,0.06,-1.62,0.12,-0.04,-0.23,-0.25
3.526,0,0,0,0,0.12,-1.44,0.0,-0.1,-0.29,-0.25
3.641,0,0,0,0,0.19,-1.44,-0.12,-0.09,-0.29,-0.25
3.757,0,0,0,0,0.19,-1.44,1.06,-0.11,-0.1,-0.26
3.872,0,0,0,0,0.12,-1.38,0.88,-0.1,-0.11,-0.24
3.986,0,0,0,0,0.19,-1.25,1.0,-0.11,-0.12,-0.25
4.101,0,0,0,0,0.19,-1.31,0.44,-0.1,-0.19,-0.28
4.215,0,0,0,0,359.94,-1.5,0.31,-0.05,-0.22,-0.26
4.329,0,0,0,0,359.94,-1.44,0.31,-0.1,-0.18,-0.25
4.443,0,0,0,0,0.0,-1.56,-0.25,-0.06,-0.28,-0.25
4.557,0,0,0,0,359.94,-1.69,-1.25,-0.07,-0.45,-0.27
