heading_crudo,roll_crudo,pitch_crudo,heading_filtrado,roll_filtrado,pitch_filtrado
0.00,0.00,0.00,0.00,0.00,0.00
205.06,-1.00,175.38,344.51,-0.10,17.54
205.06,-1.00,175.38,330.56,-0.19,33.32
205.06,-1.00,175.38,318.01,-0.27,47.53
205.06,-1.00,175.38,306.72,-0.34,60.31
205.06,-1.00,175.38,296.55,-0.41,71.82
205.06,-1.00,175.38,287.40,-0.47,82.17
205.06,-1.00,175.38,279.17,-0.52,91.49
205.06,-1.00,175.38,271.76,-0.57,99.88
205.06,-1.00,175.38,265.09,-0.61,107.43
205.06,-1.00,175.38,259.09,-0.65,114.23
205.06,-1.00,175.38,253.68,-0.69,120.34
205.06,-1.00,175.38,248.82,-0.72,125.84
205.06,-1.00,175.38,244.45,-0.75,130.80
205.06,-1.00,175.38,240.51,-0.77,135.25
205.06,-1.00,175.38,236.96,-0.79,139.27
205.06,-1.00,175.38,233.77,-0.81,142.88
205.06,-1.00,175.38,230.90,-0.83,146.13
205.06,-1.00,175.38,228.32,-0.85,149.05
205.06,-1.00,175.38,225.99,-0.86,151.68
205.06,-1.00,175.38,223.90,-0.88,154.05
205.06,-1.00,175.38,222.02,-0.89,156.19
205.06,-1.00,175.38,220.32,-0.90,158.10
205.06,-1.00,175.38,218.79,-0.91,159.83
205.06,-1.00,175.38,217.42,-0.92,161.39
205.06,-1.00,175.38,216.19,-0.93,162.78
205.06,-1.00,175.38,215.07,-0.94,164.04
205.06,-1.00,175.38,214.07,-0.94,165.18
205.06,-1.00,175.38,213.17,-0.95,166.20
205.06,-1.00,175.38,212.36,-0.95,167.11
